% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 44.33    0.001941           4       432         2 wait4
 30.42    0.001332           3       433           ptrace
 19.32    0.000846           4       207           write
  4.13    0.000181           3        48           process_vm_readv
  1.44    0.000063           2        22        12 openat
  0.18    0.000008           0         9           read
  0.11    0.000005           0        16           close
  0.07    0.000003           0        11           fstat
  0.00    0.000000           0         9         7 stat
  0.00    0.000000           0        37           mmap
  0.00    0.000000           0        11           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0        11           rt_sigaction
  0.00    0.000000           0         2           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         3           pipe
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         3           clone
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           kill
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         6           fcntl
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.004379                  1285        23 total
